,properties.delay,properties.length,properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,CollisionT,CrashType,LightCondi,TrafficCon,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,CountyName,CityTownNa,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW
272,1.05,2.493561823,1.0,42.35894438888889,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
273,1.0666666666666667,2.493561823,1.0,42.29680716666667,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
274,1.6166666666666667,3.829509473,1.0,42.998957777777775,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
275,1.7333333333333334,3.782906648,1.0,42.77526377777778,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
276,1.3833333333333333,3.503911069,1.0,43.77567305555556,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
277,1.8666666666666667,3.503911069,1.0,39.89209666666667,4,0,-73.8188082194168,42.6905365304508,0,other,collision with other barrier,3,none,0,0,0,0,0,1,0,albany,albany,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905393,-0.06824241336467046,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
278,1.2333333333333334,3.180176778,1.0,45.39124083333334,4,0,-73.7657903047378,42.7572863315113,0,other,collision with guide rail,3,none,0,0,0,0,0,1,0,albany,colonie,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.979084087682323,0.2034560130526333,-0.5528000653611931,-0.8333139190825152,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
279,1.3833333333333333,1.026504892,2.0,25.488688555555555,2,0,-78.7630748572547,42.9518127801564,0,overtaking,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,0.9680771188662043,-0.2506525322587204,0.8660254037844386,0.5000000000000001,-0.1361666490962464,-0.9906859460363308,0.97142989326471,-0.23732669987111488,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
280,1.3833333333333333,1.026504892,2.0,25.56325322222222,2,0,-78.7630748572547,42.9518127801564,0,overtaking,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,0.9680771188662043,-0.2506525322587204,0.8660254037844386,0.5000000000000001,-0.1361666490962464,-0.9906859460363308,0.97142989326471,-0.23732669987111488,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
281,1.0666666666666667,1.872190823,1.0,39.05945788888889,0,0,-75.8974086006283,42.1727292786527,0,other,collision with deer,3,none,0,0,0,0,0,1,0,broome,chenango,0,2022,0.29936312297335804,-0.9541392564000488,0.8660254037844386,0.5000000000000001,0.2697967711570243,0.9629172873477994,0.6382441836448203,-0.769833983429906,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
282,1.1666666666666667,2.996250962,1.0,43.862665166666666,4,0,-78.7603909274965,42.9509733079621,1,other,collision with earth element rock cut ditch,3,none,0,0,1,1,0,1,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9790840876823229,0.20345601305263375,-0.63824418364482,-0.7698339834299063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
283,1.1,2.418375932,1.0,41.96126616666667,4,0,-78.7603909274965,42.9509733079621,1,other,collision with earth element rock cut ditch,3,none,0,0,1,1,0,1,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9790840876823229,0.20345601305263375,-0.63824418364482,-0.7698339834299063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
284,2.283333333333333,5.02689139,1.0,41.768640777777776,4,0,-78.7603909274965,42.9509733079621,1,other,collision with earth element rock cut ditch,3,none,0,0,1,1,0,1,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9790840876823229,0.20345601305263375,-0.63824418364482,-0.7698339834299063,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
285,1.8166666666666667,2.268625521,1.0,34.92733261111111,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
286,1.5,1.698206943,2.0,31.199099277777787,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
287,2.15,2.31771383,1.0,30.26082722222223,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
288,2.033333333333333,2.31771383,1.0,31.012687611111108,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
289,3.9833333333333334,4.140194973,2.0,29.906645055555554,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
290,1.9166666666666667,3.728847371,1.0,38.51886405555556,4,0,-78.890340932578,42.8907511650891,0,other,collision with other barrier,0,none,0,0,0,0,0,1,0,erie,buffalo,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
291,1.15,2.330762621,1.0,40.42026305555555,4,0,-78.7840512277552,42.9791699303584,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.053222174842178505,-0.9985826956767619,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
292,3.5166666666666666,2.351267864,2.0,24.382646,4,0,-78.9702177493389,43.0155971266713,0,other,collision with sign post,0,none,0,0,0,0,0,1,0,erie,grand island,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.3641605752528223,-0.9313361774523384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
293,1.2666666666666666,1.026504892,2.0,26.774929055555553,4,0,-78.7663929978967,42.9591270455858,0,rear end,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9996456111234525,-0.02662052143777516,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
294,2.2,4.658418387,1.0,41.22183322222222,4,0,-78.7663929978967,42.9591270455858,0,rear end,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9996456111234525,-0.02662052143777516,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
295,1.8166666666666667,4.64785508,1.0,43.76945933333333,4,0,-78.7663929978967,42.9591270455858,0,rear end,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9996456111234525,-0.02662052143777516,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
296,1.9833333333333334,4.327849015,1.0,41.656793777777786,4,0,-78.7663929978967,42.9591270455858,0,rear end,collision with motor vehicle,0,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.4853019625310808,-0.8743466161445822,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9996456111234525,-0.02662052143777516,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
297,1.3333333333333333,0.6685951960000001,3.0,19.98954438888889,5,1,-78.8224369967947,43.0042890854833,0,other,collision with motor vehicle,0,traffic signal,0,0,0,0,0,3,0,erie,tonawanda,0,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
298,1.2333333333333334,2.002678733,2.0,38.133613277777776,4,0,-78.8208127358593,43.0039391511324,0,overtaking,collision with motor vehicle,3,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9976687691905392,-0.06824241336467088,0.053222174842178754,-0.9985826956767619,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
299,1.2166666666666666,2.43577432,1.0,40.14064555555556,4,0,-78.8208127358593,43.0039391511324,0,overtaking,collision with motor vehicle,3,none,0,0,0,0,0,2,0,erie,amherst,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9976687691905392,-0.06824241336467088,0.053222174842178754,-0.9985826956767619,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1
300,1.4166666666666667,1.372608539,2.0,29.49653938888889,4,0,-78.9099709503826,42.9807475183118,3,overtaking,collision with other barrier,0,none,0,0,1,0,1,2,0,erie,tonawanda,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.26310256422752165,-0.9647678688145158,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
301,1.9,4.471385716,1.0,46.39165011111111,4,0,-76.7920896759975,42.101936025961,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,elmira,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.21138262362962432,0.9774033898178667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
302,1.7166666666666666,4.242099817,1.0,44.608311833333325,4,0,-78.9099709503826,42.9807475183118,3,overtaking,collision with other barrier,0,none,0,0,1,0,1,2,0,erie,tonawanda,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.26310256422752165,-0.9647678688145158,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
303,1.0166666666666666,2.7595086110000002,1.0,47.740027833333336,4,0,-76.8026903997942,42.1335471668173,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,horseheads,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.8993121301712192,-0.43730732045885534,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
304,2.033333333333333,4.471385716,1.0,45.335317333333336,4,0,-76.7920896759975,42.101936025961,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,elmira,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,0.21138262362962432,0.9774033898178667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
305,3.2,6.17021403,1.0,42.77526377777778,4,0,-75.9177332523751,42.2479760969964,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.9422609221188205,-0.33487961217098616,-0.5963673585385014,0.8027116379309637,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
306,1.3333333333333333,2.961454186,1.0,45.633576,4,0,-76.9091581296108,42.1499943053204,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,big flats,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
307,1.2166666666666666,1.592573873,1.0,35.66676555555556,4,0,-76.1797711096833,42.6107147360236,0,other,collision with sign post,0,none,0,0,0,0,0,1,0,cortland,cortland,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
308,2.15,4.8292954120000005,1.0,45.72678183333333,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
309,1.7166666666666666,1.624263794,2.0,30.60879566666667,4,0,-76.1797711096833,42.6107147360236,0,other,collision with sign post,0,none,0,0,0,0,0,1,0,cortland,cortland,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
310,2.816666666666667,5.688030134,1.0,43.13565966666666,4,0,-76.1797711096833,42.6107147360236,0,other,collision with sign post,0,none,0,0,0,0,0,1,0,cortland,cortland,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
311,1.0,1.83925816,1.0,42.5577835,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
312,1.0,1.83925816,1.0,42.45836394444444,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
313,3.0833333333333335,4.8292954120000005,1.0,39.81131827777778,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
314,2.15,4.8292954120000005,1.0,45.72678183333333,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
315,1.0166666666666666,1.672109361,1.0,40.830368722222225,4,0,-76.9091581296108,42.1499943053204,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,big flats,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
316,1.0,1.672109361,1.0,41.18455088888889,4,0,-76.9091581296108,42.1499943053204,0,other,collision with guide rail,0,none,0,0,0,0,0,1,0,chemung,big flats,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
317,1.1,1.83925816,1.0,40.929788277777774,4,0,-75.9676254791933,42.3196910523722,0,other,collision with snow embankment,0,none,0,0,0,0,0,1,0,broome,barker,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.7164567402983151,-0.6976315211349847,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
318,2.066666666666667,0.9246000480000001,3.0,19.138264444444445,4,0,-76.1797711096833,42.6107147360236,0,other,collision with sign post,0,none,0,0,0,0,0,1,0,cortland,cortland,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
319,1.5,3.261576379,1.0,43.52712416666666,4,0,-73.8673067093488,41.524989509963,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,dutchess,fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
320,1.8333333333333333,2.220158583,2.0,34.58557788888889,4,0,-73.8673067093488,41.524989509963,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,dutchess,fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
321,1.8166666666666667,2.220158583,2.0,34.65392883333334,4,0,-73.8673067093488,41.524989509963,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,dutchess,fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
322,3.3833333333333333,7.296138282,1.0,43.68246722222223,4,0,-73.8673067093488,41.524989509963,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,dutchess,fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
323,1.0166666666666666,1.717469444,1.0,39.52548705555556,4,0,-73.8226313773826,41.5319028255654,0,other,collision with earth element rock cut ditch,0,none,1,0,0,0,0,1,0,dutchess,east fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9714298932647099,-0.2373266998711151,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
324,1.0166666666666666,1.717469444,1.0,39.52548705555556,4,0,-73.8673067093488,41.524989509963,0,other,collision with earth element rock cut ditch,0,none,0,0,0,0,0,1,0,dutchess,fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
325,3.0,6.95314149,1.0,44.57724322222222,4,0,-73.8226313773826,41.5319028255654,0,other,collision with earth element rock cut ditch,0,none,1,0,0,0,0,1,0,dutchess,east fishkill,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.3984010898462414,-0.917211301505453,-0.9714298932647099,-0.2373266998711151,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
